N,P,K,temperature,humidity,ph,rainfall,label
94.07,19.21,54.95,26.81,91.96,6.46,24.39,muskmelon
99.73,17.06,46.46,25.69,89.39,6.63,50.96,watermelon
32.89,56.91,49.71,30.61,92.79,6.8,156.01,papaya
54.81,65.54,53.26,32.61,90.32,6.26,137.34,papaya
12.46,142.12,195.51,21.12,92.07,6.03,113.85,apple
24.56,26.38,29.13,32.31,53.06,6.04,100.94,mango
24.08,145.0,205.0,21.14,88.41,6.61,128.58,apple
12.82,40.11,20.84,23.93,58.26,6.71,77.14,mothbeans
22.7,44.07,21.87,26.89,90.66,6.43,49.72,mungbean
18.04,63.98,18.56,25.95,70.45,6.65,46.19,lentil
44.4,54.25,20.13,27.52,63.51,7.26,68.35,blackgram
23.65,19.6,28.36,26.71,96.38,6.08,159.39,coconut
24.15,18.47,41.43,20.92,90.55,6.53,106.91,pomegranate
101.18,57.71,41.77,26.61,71.81,6.46,167.75,jute
24.09,16.9,29.64,28.12,93.97,5.74,186.68,coconut
24.41,17.59,45.58,21.41,93.78,6.39,111.74,pomegranate
22.04,125.64,203.33,22.0,87.32,6.1,104.88,apple
80.74,56.59,16.37,26.58,66.88,5.99,84.13,maize
40.61,55.48,50.88,36.06,92.82,6.77,135.86,papaya
102.69,13.88,50.16,29.06,91.99,6.54,25.0,muskmelon
82.28,28.13,35.21,23.46,59.22,7.46,169.48,coffee
45.37,64.18,50.08,31.88,93.74,6.55,155.36,papaya
13.49,13.05,8.36,23.81,92.78,7.16,114.67,orange
59.59,61.48,46.67,37.43,92.54,6.71,118.55,papaya
45.72,79.9,86.57,21.36,18.28,7.33,67.28,chickpea
70.95,46.49,42.22,25.9,76.3,6.4,161.05,jute
21.13,50.65,25.47,27.78,86.47,6.16,34.05,mungbean
19.66,17.08,8.04,29.21,91.53,6.88,108.07,orange
21.68,67.01,21.31,21.37,52.19,5.86,145.05,pigeonpeas
90.54,37.36,35.31,24.63,83.84,6.61,300.0,rice
17.91,13.04,44.04,24.06,85.23,6.69,102.64,pomegranate
23.2,48.74,19.66,25.6,54.36,6.35,33.68,mothbeans
73.52,47.9,39.05,25.28,81.98,6.35,173.83,jute
26.32,71.65,18.42,20.93,66.38,7.23,42.54,lentil
80.86,46.47,34.71,26.21,82.2,6.5,185.41,jute
37.81,55.8,25.31,30.84,63.13,7.5,61.96,blackgram
86.42,47.4,48.61,24.24,76.45,6.83,164.68,jute
34.48,46.76,78.57,20.55,20.72,6.81,84.07,chickpea
